,mouth_curve,mouth_length,mouth_height,eyebrow_l,eyebrow_r,eye_length,eye_height,label
46,0.5,8,-2,0.55,-0.333333333,2,-6,2
47,-0.181818182,16,-6,-0.16,-1.125,4,0,2
48,-0.222222222,12,-6,-0.04,-1.111111111,4,0,2
49,-0.111111111,11,-4,0.1,-1.166666667,2,-2,2
50,-0.125,12,-2,0,-0.833333333,3,-1,2
51,-0.111111111,13,-13,0.076923077,-0.666666667,3,-3,2
52,-0.222222222,14,-13,0.1,-0.857142857,3,-1,2
53,0,14,-6,0.12,-0.7,3,-4,2
54,-0.25,12,-10,0,-1,2,0,2
55,0,12,-6,0.185185185,-0.636363636,3,-4,2
56,-0.1,16,-8,0,-0.6,4,-2,2
57,-0.125,12,-2,-0.05,-1.142857143,4,-1,2
58,-0.142857143,8,-1,0.148148148,-0.5,3,-6,2
59,0,11,-5,0.176470588,-0.666666667,3,-3,2
60,-0.125,15,-16,0.1875,-0.7,3,-4,2
61,-0.727272727,20,-18,-0.5,-11,5,9,2
62,0.222222222,10,-8,0.541666667,-0.357142857,2,-12,2
63,-0.25,11,-8,-0.136363636,-1,4,-2,2
64,-0.142857143,10,-5,0,-1.428571429,4,-2,2
65,-0.125,11,-7,0.25,-0.625,3,-1,2
66,-0.25,8,-4,0.111111111,-0.8,2,-2,2
67,-0.083333333,17,-8,0.068965517,-0.636363636,5,-2,2
68,-0.111111111,11,-6,0.130434783,-0.833333333,3,-2,2
69,0,13,-7,0.176470588,-1.142857143,3,-3,2
70,0.125,10,-5,0.380952381,-0.444444444,3,-5,2
71,-0.111111111,14,-10,0.15,-1.333333333,3,-2,2
72,0,8,-2,0.25,-0.5,2,-2,2
73,-0.076923077,18,-20,0.12,-0.8,4,-3,2
74,0.181818182,13,-14,0.409090909,-0.166666667,2,-8,2
75,-0.222222222,14,-16,-0.05,-0.625,3,-1,2
76,-0.125,12,-10,0.157894737,-1,3,1,2
77,-0.1,12,-12,0.111111111,-0.75,4,-5,2
78,-0.090909091,13,-10,0.24137931,-0.454545455,5,-2,2
79,-0.25,9,-5,0.083333333,-0.666666667,2,-1,2
80,-0.428571429,12,-11,-0.217391304,-1.571428571,4,1,2
81,-0.090909091,15,-9,0.181818182,-0.571428571,4,-1,2
82,0,10,-5,0.5,-0.4,2,-4,2
83,-0.090909091,15,-9,0.043478261,-0.75,3,-3,2
84,0,16,-10,0.086956522,-0.5,3,0,2
85,-0.25,10,-10,0.125,-0.777777778,3,-4,2
86,-0.272727273,16,-19,-0.086956522,-0.9,4,-1,2
87,-0.090909091,14,-12,0.055555556,-0.833333333,3,0,2
88,-0.25,12,-9,0.076923077,-1,4,-1,2
89,-0.1,14,-9,0.125,-0.5,4,-3,2
90,0,10,-6,0.176470588,-1.428571429,3,-3,2
91,-0.6,12,-11,0,-1.142857143,3,1,2
92,0,13,-11,0.25,-0.555555556,2,-3,2
93,0,15,-14,0.185185185,-0.5,3,-3,2
94,-0.333333333,13,-6,-0.052631579,-1,3,1,2
95,0,11,-7,0.136363636,-0.777777778,3,-3,2
96,-0.2,7,-3,0.058823529,-0.6,2,-1,2
97,-0.333333333,11,-10,0,-1.5,3,1,2
98,-0.272727273,15,-18,0,-0.6,4,-3,2
99,0,13,-8,0.037037037,-0.666666667,4,-3,2
100,-0.066666667,20,-20,-0.034482759,-1,4,-3,2
101,0,17,-11,0.083333333,-0.7,3,-1,2
102,-0.25,8,-8,0.375,-1.2,2,-2,2
103,-0.142857143,11,-5,0.157894737,-0.571428571,3,-2,2
104,0.1,12,-15,0.347826087,-0.384615385,3,-8,2
105,0,12,-4,0.117647059,-0.875,3,0,2
106,-0.111111111,14,-5,0.136363636,-0.7,3,-3,2
107,-0.076923077,18,-12,0.083333333,-1,3,0,2
108,-0.1,12,-9,0.333333333,-0.7,4,-6,2
109,0,12,-5,0.178571429,-0.727272727,4,-5,2
110,-0.083333333,16,-13,0.083333333,-0.8,3,-3,2
111,-0.222222222,13,-12,0,-1.166666667,3,0,2
112,-0.5,8,-2,0,-0.714285714,4,-1,2
113,-0.142857143,11,-8,0.095238095,-0.666666667,3,-3,2
114,-0.285714286,11,-8,-0.133333333,-1.166666667,3,0,2
115,-0.111111111,11,-8,0.210526316,-0.833333333,3,-2,2
116,0,14,-7,0.130434783,-0.444444444,3,-2,2
117,0.111111111,12,-8,0.238095238,-0.444444444,2,-4,2
118,0,9,-3,-0.142857143,-1,2,-1,2
119,-0.4,15,-9,-0.115384615,-0.75,4,1,2
120,-0.142857143,12,-5,0,-0.8,3,-2,2
121,0.285714286,13,-6,0.444444444,-0.454545455,3,-6,2
122,0,11,-7,0.130434783,-0.857142857,3,-4,2
123,-0.125,13,-13,0,-0.75,4,-1,2
124,-0.125,12,-6,0.083333333,-0.8,3,-2,2
125,-0.142857143,10,-6,0.136363636,-1,3,-3,2
126,-0.285714286,10,-9,0,-0.625,3,-2,2
127,-0.307692308,19,-22,-0.083333333,-0.857142857,4,0,2
128,-0.083333333,15,-11,0.043478261,-1.166666667,3,1,2
129,-0.4,12,-11,0.083333333,-1.8,3,1,2
130,-0.833333333,13,-12,-0.727272727,-2.5,3,6,2
131,0,14,-7,0.24,-0.6,4,-8,2
132,-0.181818182,16,-15,-0.1,-1.142857143,3,1,2
133,0,9,-6,0.230769231,-1,2,-5,2
134,-0.166666667,10,-6,0.142857143,-0.875,2,-3,2
135,-0.25,11,-8,0.086956522,-1.142857143,3,-3,2
136,-0.75,13,-12,-0.36,-1.666666667,5,5,2
137,0,10,-6,0.105263158,-0.571428571,3,-2,2
138,0.125,10,-6,0.333333333,-0.625,2,-5,2
139,0,12,-7,0.24,-0.8,3,-5,2
140,-0.25,13,-9,-0.043478261,-1,4,-1,2
141,0.4,15,-3,0.476190476,-0.363636364,3,-6,2
142,-0.1,14,-11,0.19047619,-0.555555556,4,-2,2
143,-0.111111111,14,-12,0.176470588,-0.571428571,3,-3,2
144,0,14,-17,0.142857143,-0.333333333,2,-4,2
145,0.1,13,-4,0.090909091,-0.75,3,-2,2
146,0.076923077,16,-18,0.16,-0.6,3,-4,2
147,-0.375,12,-13,-0.047619048,-0.777777778,3,-3,2
148,-0.25,14,-11,-0.133333333,-1,3,0,2
149,0,10,-6,0.25,-0.75,2,-1,2
150,-0.272727273,19,-6,-0.2,-1.363636364,6,3,2
151,-0.222222222,11,-9,0.1,-1,3,-3,2
152,-0.111111111,12,-6,0.19047619,-0.857142857,3,-3,2
153,0.142857143,7,-4,0.421052632,-0.714285714,2,-5,2
154,-0.25,12,-8,-0.041666667,-1.25,4,0,2
155,-0.111111111,12,-13,0,-1,1,0,2
156,-0.142857143,6,-6,0.095238095,-1,3,-1,2
157,-0.777777778,16,-8,-0.458333333,-2,5,7,2
158,0,9,-4,0.272727273,-0.777777778,2,-4,2
159,-0.083333333,18,-4,-0.03125,-0.75,4,-3,2
160,0,17,-10,0.130434783,-0.666666667,3,-2,2
161,-0.142857143,10,-3,0,-1,2,-3,2
162,-0.111111111,11,-13,0.058823529,-1,2,-1,2
163,0,13,-8,0.210526316,-0.571428571,2,-1,2
164,-0.125,12,-6,0.05,-0.555555556,3,-3,2
165,-0.125,11,-1,0.083333333,-0.75,4,0,2
166,0.25,14,-4,0.5,-0.363636364,2,-5,2
167,0.1,13,-5,0.2,-0.714285714,4,-3,2
168,-0.1,13,-4,0,-0.727272727,4,-2,2
169,-0.333333333,10,-6,-0.125,-1.2,3,0,2
170,-0.1,14,-7,0.086956522,-0.75,4,-3,2
171,-0.111111111,14,-6,0.136363636,-0.75,3,-2,2
172,0,11,-7,0.222222222,-0.777777778,2,-5,2
173,-0.222222222,13,-18,0.043478261,-0.875,4,-2,2
174,0.090909091,15,-12,0.363636364,-0.333333333,3,-4,2
175,0,11,-9,0.25,-0.571428571,2,-4,2
176,0,9,-10,0.25,-0.375,2,-3,2
177,-0.125,12,-13,0.055555556,-0.75,2,-2,2
178,-0.25,9,-5,0,-1.4,2,1,2
179,0.111111111,14,-5,0.315789474,-0.5,2,-3,2
180,-0.181818182,16,-15,0,-0.777777778,3,-1,2
181,0,10,-7,0.294117647,-0.666666667,2,-5,2
182,-0.4,11,-7,-0.176470588,-1.333333333,3,1,2
183,-0.111111111,14,-8,0,-1.125,4,-2,2
184,-0.222222222,14,-11,0.136363636,-0.8,3,-4,2
185,-0.714285714,15,-8,-0.368421053,-1.285714286,4,4,2
186,0,10,-10,0.071428571,-0.875,2,-1,2
187,-0.333333333,13,-11,-0.047619048,-0.857142857,4,0,2
188,-0.142857143,14,-7,-0.058823529,-1.166666667,4,5,2
189,-0.3,15,-16,-0.04,-0.875,4,1,2
190,-0.25,12,-6,-0.041666667,-0.875,4,-2,2
191,-0.222222222,12,-7,0,-1.166666667,4,-1,2
192,-0.166666667,10,-6,0.04,-1,4,0,2
193,0,12,-4,0.142857143,-0.833333333,4,-3,2
194,-0.083333333,16,-10,0.047619048,-0.5,3,-4,2
195,-0.2,8,-5,-0.071428571,-0.833333333,3,-1,2
196,0,11,1,0.153846154,-0.6,4,-5,2
197,-0.076923077,16,-11,0.076923077,-0.875,4,-1,2
198,0,8,-6,0.1,-0.5,3,-2,2
199,-0.125,11,-5,0.083333333,-0.888888889,4,-2,2
200,-0.428571429,11,-7,-0.086956522,-1.125,3,0,2
201,-0.25,12,-7,-0.047619048,-1,3,-1,2
202,0.111111111,12,-7,0.416666667,-0.461538462,4,-6,2
203,-0.166666667,9,-6,0.136363636,-0.777777778,3,-1,2
204,-0.5,15,-11,-0.137931034,-1.666666667,5,1,2
205,-0.3,15,-8,-0.111111111,-1,3,1,2
206,0,11,-5,0.15,-0.75,3,-3,2
207,0,20,-16,0.066666667,-0.692307692,3,-3,2
208,-0.142857143,9,-6,0.176470588,-0.666666667,2,-1,2
209,-0.222222222,15,-15,-0.047619048,-0.9,3,0,2
210,-0.4,5,-5,0.142857143,-1.5,2,-2,2
211,-0.4,9,-10,0,-1.4,2,-2,2
212,0,11,-5,0.277777778,-0.777777778,3,-4,2
213,0,11,-8,-0.047619048,-1.142857143,4,-1,2
214,-0.222222222,11,-17,0.052631579,-0.8,2,-2,2
215,-0.090909091,16,-8,0.083333333,-0.6,4,-3,2
216,-0.111111111,11,-13,0,-1.25,3,-3,2
217,0,12,-6,0.263157895,-0.714285714,3,-3,2
218,-0.2,14,-5,0.181818182,-0.833333333,4,-5,2
219,0,17,-14,0.052631579,-0.5,3,-2,2
220,-0.153846154,17,-16,0.12,-0.75,3,0,2
221,-0.090909091,15,-11,0.04,-0.888888889,3,-3,2
222,-0.1,14,-17,0.037037037,-0.636363636,3,-2,2
223,0,17,-9,0.095238095,-0.875,4,-2,2
224,-0.142857143,11,-7,0.066666667,-0.714285714,2,-1,2
225,-0.222222222,17,-12,-0.178571429,-2,5,5,2
226,0,7,-3,-0.076923077,-1,2,0,2
227,-0.444444444,14,-14,-0.294117647,-1,3,2,2
228,-0.142857143,10,-5,0.15,-0.75,4,-2,2
229,0,12,-13,0.1,-0.75,3,-4,2
230,-0.125,14,-13,0.3,-0.8,4,-4,2
231,-0.125,13,-8,0,-1.142857143,4,1,2
232,-0.222222222,13,-7,0.136363636,-0.666666667,3,-2,2
233,0,13,-9,0.086956522,-0.7,2,-2,2
234,0.090909091,14,-2,0,-0.555555556,4,-1,2
235,-0.1,15,-15,0.05,-0.714285714,3,2,2
236,0,9,-7,0.2,-0.8,2,-4,2
237,-0.125,10,-6,0.15,-0.6,3,-3,2
238,0,8,-8,0.333333333,-0.75,2,-5,2
239,-0.090909091,16,-10,0.166666667,-0.909090909,4,-2,2
240,-0.142857143,11,-4,0.105263158,-0.5,3,-1,2
241,-0.25,12,-9,0,-1.375,5,-2,2
242,-0.142857143,12,-8,-0.105263158,-0.833333333,3,1,2
243,0.1,12,-7,0.409090909,-0.444444444,3,-7,2
244,0.333333333,8,-5,0.6,-0.272727273,1,-7,2
245,0,13,-7,0.1,-0.428571429,3,-1,2
246,0,11,-6,0.192307692,-0.666666667,4,-3,2
247,0,13,-9,0.259259259,-0.583333333,4,-7,2
248,-0.090909091,12,-11,0.173913043,-0.75,3,-6,2
249,0,12,0,0.129032258,-0.875,4,-2,2
250,-1,9,-6,-0.5625,-3,4,6,2
251,-0.666666667,13,-8,-0.384615385,-1.5,3,4,2
252,-0.25,18,-7,-0.166666667,-1.166666667,4,3,2
253,-0.125,12,-7,0.041666667,-0.888888889,3,-1,2
254,0,10,-7,0.318181818,-0.625,3,-5,2
255,-0.125,11,-6,-0.045454545,-0.875,3,-1,2
256,-0.285714286,10,-6,0.208333333,-0.555555556,4,-3,2
257,-0.333333333,16,-11,-0.222222222,-1.5,3,2,2
258,-0.25,13,-6,-0.181818182,-1.571428571,4,1,2
259,0,13,-11,0.19047619,-0.555555556,3,-3,2
260,-0.083333333,15,-12,0.043478261,-0.857142857,3,0,2
261,-0.1,13,-8,0.095238095,-0.833333333,3,-1,2
262,-0.285714286,12,-6,0.15,-0.5,3,0,2
263,0,10,-1,0.5,-0.333333333,2,-6,2
264,-0.25,11,-6,-0.043478261,-0.833333333,3,0,2
265,-0.5,15,-17,-0.315789474,-1.4,4,2,2
266,-0.5,22,-17,-0.428571429,-2,5,5,2
267,0.142857143,6,-6,0.421052632,-0.5,2,-6,2
268,0.125,11,-2,0.307692308,-0.625,2,-3,2
269,0,9,-2,0.142857143,-0.571428571,2,-4,2
270,0,9,-5,0.25,-0.428571429,2,-5,2
271,-0.25,15,-10,-0.111111111,-1.428571429,4,2,2
272,-0.142857143,10,-5,0,-0.75,3,-1,2
273,-0.375,12,-7,-0.086956522,-1.142857143,3,1,2
274,-0.428571429,13,-7,-0.142857143,-1.125,4,2,2
275,-0.2,15,-6,0,-0.666666667,3,0,2
276,-0.285714286,12,-9,0.133333333,-1.125,4,-2,2
277,0,12,-8,0.105263158,-0.75,2,-5,2
278,-0.111111111,13,-5,0.043478261,-0.5,3,-2,2
279,-0.25,11,-6,0,-1.428571429,4,-2,2
280,0,13,-7,0.176470588,-1.142857143,3,-3,2
281,-0.222222222,12,-3,-0.047619048,-1,4,-1,2
282,-0.5,12,-8,-0.1875,-1.4,3,2,2
283,-0.125,11,-11,-0.1,-1.142857143,3,-1,2
284,-0.166666667,12,-7,0.0625,-0.875,4,-1,2
285,0,10,-5,0.086956522,-0.666666667,4,-3,2
286,0.1,13,-7,0.285714286,-0.555555556,3,-4,2
287,-0.125,13,-6,0.263157895,-0.75,3,-3,2
288,-0.090909091,14,-10,0.04,-0.75,4,-3,2
289,0,10,-7,0.153846154,-0.571428571,2,-3,2
290,-0.090909091,16,-12,0.043478261,-1,3,-1,2
291,-0.333333333,18,-17,-0.076923077,-0.7,5,-3,2
292,-0.142857143,10,-4,0.066666667,-0.571428571,2,-1,2
293,0.5,12,-5,0.434782609,-0.4,2,-10,2
294,-0.285714286,12,-6,0,-0.75,4,-1,2
295,0,9,-6,0.214285714,-0.625,2,-3,2
296,-0.5,9,-4,-0.15,-1.166666667,3,1,2
297,-0.2,13,-11,0.105263158,-0.714285714,3,-1,2
298,0,14,-9,0.15,-0.625,2,-1,2
299,-0.2,7,-3,0.214285714,-0.666666667,2,-1,2
300,-0.1,15,-11,-0.047619048,-0.875,3,-1,2
301,0.1,14,-12,0.222222222,-0.625,2,-3,2
302,-0.125,9,-10,0.136363636,-0.714285714,3,-5,2
303,-0.333333333,17,-16,0,-0.6,4,-2,2
304,0,11,-5,0.166666667,-0.7,3,-3,2
305,-0.125,12,-6,0.035714286,-0.7,4,-3,2
306,0,16,-6,0.137931034,-0.666666667,4,-1,2
307,0.285714286,9,-3,0.318181818,-0.3,2,-6,2
308,0,15,-12,0.086956522,-0.5,4,-3,2
309,-0.166666667,10,-3,-0.090909091,-0.833333333,3,-1,2
310,-0.444444444,15,-14,-0.178571429,-1,5,1,2
311,-0.166666667,12,-9,0.230769231,-1.142857143,2,-1,2
312,0,14,-7,0.166666667,-0.625,3,-3,2
313,-0.111111111,14,-5,0.142857143,-0.75,4,-3,2
314,-0.166666667,16,-13,0,-0.625,4,-2,2
315,-0.333333333,11,-6,-0.166666667,-1.142857143,3,1,2
316,0,13,-9,0.227272727,-0.6,3,-4,2
317,-0.1,14,-9,0.130434783,-0.777777778,3,1,2
318,-0.285714286,9,-5,0.052631579,-1.5,3,-2,2
319,-0.75,10,-8,-0.285714286,-0.9,4,0,2
320,-0.090909091,14,-7,0.107142857,-0.777777778,4,-2,2
321,-0.125,11,-9,0.05,-0.888888889,4,-3,2
322,-0.090909091,16,-16,0.055555556,-0.571428571,2,0,2
323,-0.285714286,10,-7,0,-1,3,-3,2
324,-0.25,7,-9,0.125,-1.2,2,-1,2
325,-0.1,9,-13,0.294117647,-1,2,-5,2
326,-0.375,14,-10,-0.052631579,-1.125,4,-1,2
327,-0.666666667,8,-6,-0.083333333,-1.5,3,0,2
328,-0.333333333,11,-6,-0.041666667,-0.888888889,4,0,2
329,0,16,-4,0.111111111,-0.545454545,4,-4,2
330,-0.111111111,14,-8,0.15,-0.7,3,-3,2
331,-0.375,13,-17,-0.25,-0.777777778,3,0,2
332,-0.090909091,13,-15,0.090909091,-1.5,3,-1,2
333,0,13,-8,0.086956522,-0.888888889,3,-3,2
334,-0.333333333,16,-8,-0.318181818,-2,4,6,2
335,0.125,7,-5,0.409090909,-0.571428571,3,-5,2
336,-0.125,11,-5,-0.08,-0.7,4,-1,2
337,0,10,-4,0.227272727,-0.5,3,-4,2
338,0,11,-7,0.142857143,-0.625,3,-3,2
339,-0.090909091,14,-7,0.107142857,-0.777777778,4,-2,2
340,-0.2,13,-14,-0.041666667,-1.285714286,5,-1,2
341,0,10,-7,0.266666667,-0.625,3,-3,2
342,-0.25,12,-7,-0.041666667,-1.111111111,4,-1,2
343,-0.2,13,-9,0.035714286,-0.75,5,-2,2
344,-0.166666667,18,-16,0,-1.142857143,4,1,2
345,-0.142857143,10,-6,0.058823529,-0.714285714,3,-2,2
346,-0.125,12,-15,0,-1,3,-2,2
347,-0.333333333,10,-6,0.105263158,-0.875,3,-1,2
348,0.071428571,17,-5,0.36,-0.222222222,4,-6,2
349,0.1,11,-6,0.318181818,-0.625,3,-4,2
350,0,10,-7,0.230769231,-0.714285714,2,-1,2
351,0,8,-4,0.15,-1,2,-3,2
352,0.333333333,11,-9,0.631578947,-0.2,2,-8,2
353,0.333333333,7,-3,0.619047619,-0.375,2,-9,2
354,-0.222222222,13,-13,0,-0.777777778,4,-1,2
355,-0.181818182,16,-11,0,-0.888888889,4,-3,2
356,0,16,-15,0.166666667,-0.625,3,-3,2
357,-0.333333333,14,-19,-0.125,-0.833333333,2,0,2
358,-0.1,14,-6,0.1,-0.857142857,3,-2,2
359,0.25,8,-5,0.454545455,-0.666666667,2,-7,2
360,-0.1,14,-13,0.086956522,-0.625,3,-3,2
361,-0.142857143,11,-5,-0.1,-0.875,3,-2,2
362,0,10,-2,0,-0.75,3,-3,2
363,-0.222222222,15,-16,0.052631579,-0.777777778,4,-1,2
364,-0.444444444,15,-19,-0.052631579,-1.25,3,1,2
365,-0.111111111,11,-13,0,-1.25,3,-3,2
366,-0.166666667,14,-15,0.038461538,-1.125,3,-2,2
367,-0.1,14,-14,0.222222222,-0.666666667,3,-2,2
368,-0.076923077,19,-13,0.185185185,-0.7,4,-3,2
369,-0.076923077,17,-19,0.071428571,-0.8,4,-3,2
370,-0.181818182,16,-11,-0.1,-1,3,-2,2
371,-0.333333333,13,-14,0,-1.222222222,2,-3,2
372,0,6,-1,0.2,-0.333333333,2,-2,2
373,-0.25,13,-7,0,-0.875,3,-1,2
374,0,12,-6,0.1,-0.5,3,-2,2
375,-0.166666667,10,-6,0,-0.666666667,3,-1,2
376,-0.375,15,-10,-0.111111111,-1.142857143,3,0,2
377,-0.142857143,10,-6,0.047619048,-1.166666667,3,-3,2
378,-0.375,12,-8,-0.04,-0.777777778,5,-1,2
379,-0.1,14,-7,0.047619048,-0.75,4,0,2
380,-0.375,12,-10,0.35,-0.555555556,3,-3,2
381,-0.142857143,12,-10,-0.066666667,-1.142857143,3,0,2
382,0,11,0,0.045454545,-0.666666667,3,-2,2
383,-0.375,13,-8,-0.2,-1.285714286,4,3,2
384,-0.111111111,13,-16,0.055555556,-0.714285714,3,-2,2
385,0,17,-13,0.095238095,-0.555555556,3,-1,2
386,-0.4,16,-10,-0.137931034,-0.909090909,5,0,2
387,0,11,-6,0.333333333,-0.4,3,-5,2
388,-0.111111111,13,-14,-0.055555556,-0.857142857,3,-1,2
389,-0.125,11,-7,0.125,-0.75,4,-3,2
390,-0.3,16,-19,-0.083333333,-0.6,4,0,2
391,0,12,-12,0.05,-0.857142857,3,-1,2
392,0,10,-3,-0.214285714,-1.142857143,3,0,2
393,-0.428571429,13,-10,-0.157894737,-1.285714286,4,0,2
394,0.4,7,-2,0.571428571,-0.125,2,-6,2
395,0,14,-4,0.08,-0.6,3,-2,2
396,-0.166666667,14,-12,0.1,-1.2,1,0,2
397,-0.6,10,-3,-0.222222222,-1.222222222,4,1,2
398,-0.25,13,-7,-0.052631579,-1,3,0,2
399,-0.166666667,9,-8,0,-0.857142857,2,-1,2
400,0,11,-2,0.19047619,-0.555555556,4,-4,2
401,0,14,-6,0.166666667,-0.7,4,-3,2
402,-0.153846154,19,-21,0.038461538,-0.9,3,-1,2
403,-0.111111111,14,-9,-0.055555556,-1,3,-1,2
404,0,11,-14,0.388888889,-0.571428571,2,-2,2
405,-0.222222222,14,-14,0.041666667,-1.142857143,4,0,2
406,-0.222222222,11,-8,0.130434783,-1,4,-2,2
407,-0.166666667,12,-8,0.142857143,-1,2,0,2
408,0,14,-8,0.045454545,-0.833333333,3,-3,2
409,0,9,-5,0.25,-0.75,4,-4,2
410,-0.222222222,12,-13,0.142857143,-0.6,3,-5,2
411,-0.5,9,-13,0.038461538,-0.727272727,4,-3,2
412,-0.230769231,20,-22,-0.076923077,-1.111111111,4,-1,2
413,-0.090909091,13,-7,0.172413793,-0.6,4,-3,2
414,-0.166666667,9,-6,0,-0.833333333,3,-1,2
415,0,9,-8,0.384615385,-0.5,3,-8,2
416,-0.666666667,7,-5,-0.125,-2,1,1,2
417,-0.1,13,-13,0.125,-0.75,3,-3,2
418,-0.090909091,15,-7,0.043478261,-0.75,3,-1,2
419,-0.111111111,11,-7,0.12,-0.666666667,3,-4,2
420,-0.272727273,17,-19,0,-0.8,4,0,2
421,-0.1,14,-5,0.153846154,-0.545454545,4,-3,2
422,-0.111111111,12,-9,0.086956522,-0.857142857,3,-1,2
423,-0.111111111,12,-6,0.08,-0.625,4,-2,2
424,0,8,-3,0.125,-1,2,-2,2
425,-0.6,8,-4,-0.157894737,-1,3,2,2
426,-0.2,13,-8,0.086956522,-0.625,3,-1,2
427,-0.142857143,13,-9,0.285714286,-0.777777778,2,-2,2
428,0,12,-4,0.105263158,-0.777777778,3,-1,2
429,-0.083333333,15,-9,0.24,-0.777777778,4,-4,2
430,-0.125,10,-6,0.052631579,-0.571428571,3,-1,2
431,-0.166666667,18,-17,-0.115384615,-1.375,5,2,2
432,0,11,-9,0.25,-0.571428571,2,-4,2
433,-0.1,14,-6,0.105263158,-0.875,3,-2,2
434,0.1,14,-9,0.181818182,-0.666666667,3,-3,2
435,-0.153846154,18,-18,0.09375,-0.666666667,4,-3,2
436,-0.333333333,10,-7,0.047619048,-0.666666667,4,-3,2
437,-0.333333333,12,-4,-0.176470588,-1.666666667,4,1,2
438,-0.111111111,11,-5,0.1,-0.571428571,3,-1,2
439,-0.666666667,16,-21,-0.416666667,-2.4,4,5,2
440,-0.1,14,-4,-0.111111111,-0.7,4,0,2
441,-0.142857143,12,-4,-0.052631579,-1.142857143,4,0,2
442,0,14,-9,0.227272727,-0.363636364,2,-4,2
443,-0.2,9,-4,0,-0.857142857,3,0,2
444,0,12,-6,0.227272727,-0.5,3,-2,2
445,0,12,-9,0.238095238,-0.555555556,3,-4,2
446,0.125,9,-5,0.227272727,-0.714285714,2,-4,2
447,-0.2,15,-5,-0.090909091,-0.75,3,0,2
448,-0.2,14,-19,0.05,-0.75,3,-4,2
449,-0.166666667,20,-13,-0.071428571,-1.4,6,0,2
450,-0.25,11,-7,0.166666667,-0.8,4,-4,2
451,-0.25,12,-7,-0.086956522,-0.875,4,-1,2
452,-0.125,12,-7,-0.045454545,-0.875,3,-1,2
453,-0.090909091,14,-10,0.136363636,-0.714285714,4,-3,2
454,0,8,-6,0.117647059,-1.25,2,-2,2
455,-0.25,12,-8,-0.125,-1,4,-3,2
456,0,10,-4,0.230769231,-0.833333333,2,-3,2
457,-0.333333333,13,-8,-0.136363636,-0.75,4,0,2
458,0,8,-4,0.222222222,-0.857142857,3,-3,2
459,0.111111111,14,-13,0.352941176,-0.363636364,2,-4,2
460,-0.666666667,5,-5,0.133333333,-0.833333333,3,-1,2
461,-0.25,12,-4,-0.105263158,-1,3,0,2
462,-0.166666667,16,-15,0.185185185,-0.454545455,4,-2,2
